Source,Voltage
consumer_device_19_data_user_1,{'redconsumer_device_19'}
consumer_device_19_data_user_10,{'redconsumer_device_19'}
consumer_device_19_data_user_11,{'blueconsumer_device_19'}
consumer_device_19_data_user_12,{'redconsumer_device_19'}
consumer_device_19_data_user_13,{'blueconsumer_device_19'}
consumer_device_19_data_user_14,{'yellowconsumer_device_19'}
consumer_device_19_data_user_15,{'redconsumer_device_19'}
consumer_device_19_data_user_16,{'blueconsumer_device_19'}
consumer_device_19_data_user_17,{'yellowconsumer_device_19'}
consumer_device_19_data_user_2,{'blueconsumer_device_19'}
consumer_device_19_data_user_3,{'yellowconsumer_device_19'}
consumer_device_19_data_user_4,{'redconsumer_device_19'}
consumer_device_19_data_user_5,{'blueconsumer_device_19'}
consumer_device_19_data_user_6,{'yellowconsumer_device_19'}
consumer_device_19_data_user_7,{'redconsumer_device_19'}
consumer_device_19_data_user_8,{'blueconsumer_device_19'}
consumer_device_19_data_user_9,{'yellowconsumer_device_19'}
consumer_device_1_data_user_1,{'redconsumer_device_1'}
consumer_device_1_data_user_2,{'blueconsumer_device_1'}
consumer_device_1_data_user_3,{'yellowconsumer_device_1'}
consumer_device_1_data_user_4,{'redconsumer_device_1'}
consumer_device_1_data_user_5,{'blueconsumer_device_1'}
consumer_device_1_data_user_6,{'yellowconsumer_device_1'}
consumer_device_1_data_user_7,{'yellowconsumer_device_1'}
consumer_device_1_data_user_8,{'redconsumer_device_1'}
consumer_device_1_data_user_9,{'redconsumer_device_1'}
consumer_device_20_data_user_1,{'redconsumer_device_20'}
consumer_device_20_data_user_10,{'redconsumer_device_20'}
consumer_device_20_data_user_11,{'blueconsumer_device_20'}
consumer_device_20_data_user_12,{'yellowconsumer_device_20'}
consumer_device_20_data_user_13,{'redconsumer_device_20'}
consumer_device_20_data_user_14,{'yellowconsumer_device_20'}
consumer_device_20_data_user_15,{'redconsumer_device_20'}
consumer_device_20_data_user_16,{'yellowconsumer_device_20'}
consumer_device_20_data_user_2,{'blueconsumer_device_20'}
consumer_device_20_data_user_3,{'yellowconsumer_device_20'}
consumer_device_20_data_user_4,{'redconsumer_device_20'}
consumer_device_20_data_user_5,{'blueconsumer_device_20'}
consumer_device_20_data_user_6,{'yellowconsumer_device_20'}
consumer_device_20_data_user_7,{'redconsumer_device_20'}
consumer_device_20_data_user_8,{'blueconsumer_device_20'}
consumer_device_20_data_user_9,{'yellowconsumer_device_20'}
consumer_device_21_data_user_1,{'redconsumer_device_21'}
consumer_device_21_data_user_10,{'redconsumer_device_21'}
consumer_device_21_data_user_11,{'blueconsumer_device_21'}
consumer_device_21_data_user_12,{'yellowconsumer_device_21'}
consumer_device_21_data_user_13,{'redconsumer_device_21'}
consumer_device_21_data_user_14,{'blueconsumer_device_21'}
consumer_device_21_data_user_15,{'yellowconsumer_device_21'}
consumer_device_21_data_user_16,{'redconsumer_device_21'}
consumer_device_21_data_user_17,{'blueconsumer_device_21'}
consumer_device_21_data_user_18,{'yellowconsumer_device_21'}
consumer_device_21_data_user_2,{'blueconsumer_device_21'}
consumer_device_21_data_user_3,{'yellowconsumer_device_21'}
consumer_device_21_data_user_4,{'redconsumer_device_21'}
consumer_device_21_data_user_5,{'blueconsumer_device_21'}
consumer_device_21_data_user_6,{'yellowconsumer_device_21'}
consumer_device_21_data_user_7,{'redconsumer_device_21'}
consumer_device_21_data_user_8,{'blueconsumer_device_21'}
consumer_device_21_data_user_9,{'yellowconsumer_device_21'}
consumer_device_22_data_user_1,{'redconsumer_device_22'}
consumer_device_22_data_user_10,{'redconsumer_device_22'}
consumer_device_22_data_user_11,{'blueconsumer_device_22'}
consumer_device_22_data_user_12,{'redconsumer_device_22'}
consumer_device_22_data_user_13,{'yellowconsumer_device_22'}
consumer_device_22_data_user_14,{'redconsumer_device_22'}
consumer_device_22_data_user_15,{'yellowconsumer_device_22'}
consumer_device_22_data_user_2,{'blueconsumer_device_22'}
consumer_device_22_data_user_3,{'yellowconsumer_device_22'}
consumer_device_22_data_user_4,{'redconsumer_device_22'}
consumer_device_22_data_user_5,{'blueconsumer_device_22'}
consumer_device_22_data_user_6,{'yellowconsumer_device_22'}
consumer_device_22_data_user_7,{'redconsumer_device_22'}
consumer_device_22_data_user_8,{'blueconsumer_device_22'}
consumer_device_22_data_user_9,{'yellowconsumer_device_22'}
consumer_device_23_data_user_1,{'redconsumer_device_23'}
consumer_device_23_data_user_2,{'yellowconsumer_device_23'}
consumer_device_23_data_user_3,{'redconsumer_device_23'}
consumer_device_23_data_user_4,{'blueconsumer_device_23'}
consumer_device_23_data_user_5,{'blueconsumer_device_23'}
consumer_device_26_data_user_1,{'redconsumer_device_26'}
consumer_device_26_data_user_10,{'redconsumer_device_26'}
consumer_device_26_data_user_11,{'blueconsumer_device_26'}
consumer_device_26_data_user_12,{'redconsumer_device_26'}
consumer_device_26_data_user_13,{'blueconsumer_device_26'}
consumer_device_26_data_user_14,{'yellowconsumer_device_26'}
consumer_device_26_data_user_15,{'redconsumer_device_26'}
consumer_device_26_data_user_16,{'yellowconsumer_device_26'}
consumer_device_26_data_user_2,{'blueconsumer_device_26'}
consumer_device_26_data_user_3,{'yellowconsumer_device_26'}
consumer_device_26_data_user_4,{'redconsumer_device_26'}
consumer_device_26_data_user_5,{'blueconsumer_device_26'}
consumer_device_26_data_user_6,{'yellowconsumer_device_26'}
consumer_device_26_data_user_7,{'redconsumer_device_26'}
consumer_device_26_data_user_8,{'blueconsumer_device_26'}
consumer_device_26_data_user_9,{'yellowconsumer_device_26'}
consumer_device_28_data_user_1,{'redconsumer_device_28'}
consumer_device_28_data_user_10,{'redconsumer_device_28'}
consumer_device_28_data_user_11,{'blueconsumer_device_28'}
consumer_device_28_data_user_12,{'yellowconsumer_device_28'}
consumer_device_28_data_user_13,{'redconsumer_device_28'}
consumer_device_28_data_user_14,{'blueconsumer_device_28'}
consumer_device_28_data_user_15,{'yellowconsumer_device_28'}
consumer_device_28_data_user_16,{'redconsumer_device_28'}
consumer_device_28_data_user_17,{'blueconsumer_device_28'}
consumer_device_28_data_user_18,{'yellowconsumer_device_28'}
consumer_device_28_data_user_2,{'blueconsumer_device_28'}
consumer_device_28_data_user_3,{'yellowconsumer_device_28'}
consumer_device_28_data_user_4,{'redconsumer_device_28'}
consumer_device_28_data_user_5,{'blueconsumer_device_28'}
consumer_device_28_data_user_6,{'yellowconsumer_device_28'}
consumer_device_28_data_user_7,{'redconsumer_device_28'}
consumer_device_28_data_user_8,{'blueconsumer_device_28'}
consumer_device_28_data_user_9,{'yellowconsumer_device_28'}
consumer_device_29_data_user_1,{'redconsumer_device_29'}
consumer_device_29_data_user_2,{'blueconsumer_device_29'}
consumer_device_29_data_user_3,{'yellowconsumer_device_29'}
consumer_device_29_data_user_4,{'redconsumer_device_29'}
consumer_device_29_data_user_5,{'yellowconsumer_device_29'}
consumer_device_29_data_user_6,{'redconsumer_device_29'}
consumer_device_29_data_user_7,{'blueconsumer_device_29'}
consumer_device_29_data_user_8,{'yellowconsumer_device_29'}
consumer_device_2_data_user_1,{'redconsumer_device_2'}
consumer_device_2_data_user_10,{'redconsumer_device_2'}
consumer_device_2_data_user_11,{'blueconsumer_device_2'}
consumer_device_2_data_user_12,{'yellowconsumer_device_2'}
consumer_device_2_data_user_13,{'redconsumer_device_2'}
consumer_device_2_data_user_14,{'yellowconsumer_device_2'}
consumer_device_2_data_user_15,{'redconsumer_device_2'}
consumer_device_2_data_user_16,{'blueconsumer_device_2'}
consumer_device_2_data_user_17,{'yellowconsumer_device_2'}
consumer_device_2_data_user_2,{'blueconsumer_device_2'}
consumer_device_2_data_user_3,{'yellowconsumer_device_2'}
consumer_device_2_data_user_4,{'redconsumer_device_2'}
consumer_device_2_data_user_5,{'blueconsumer_device_2'}
consumer_device_2_data_user_6,{'yellowconsumer_device_2'}
consumer_device_2_data_user_7,{'redconsumer_device_2'}
consumer_device_2_data_user_8,{'blueconsumer_device_2'}
consumer_device_2_data_user_9,{'yellowconsumer_device_2'}
consumer_device_30_data_user_1,{'redconsumer_device_30'}
consumer_device_30_data_user_10,{'redconsumer_device_30'}
consumer_device_30_data_user_11,{'blueconsumer_device_30'}
consumer_device_30_data_user_12,{'yellowconsumer_device_30'}
consumer_device_30_data_user_13,{'redconsumer_device_30'}
consumer_device_30_data_user_14,{'yellowconsumer_device_30'}
consumer_device_30_data_user_15,{'redconsumer_device_30'}
consumer_device_30_data_user_16,{'yellowconsumer_device_30'}
consumer_device_30_data_user_2,{'blueconsumer_device_30'}
consumer_device_30_data_user_3,{'yellowconsumer_device_30'}
consumer_device_30_data_user_4,{'redconsumer_device_30'}
consumer_device_30_data_user_5,{'blueconsumer_device_30'}
consumer_device_30_data_user_6,{'yellowconsumer_device_30'}
consumer_device_30_data_user_7,{'redconsumer_device_30'}
consumer_device_30_data_user_8,{'blueconsumer_device_30'}
consumer_device_30_data_user_9,{'yellowconsumer_device_30'}
consumer_device_31_data_user_1,{'redconsumer_device_31'}
consumer_device_31_data_user_10,{'blueconsumer_device_31'}
consumer_device_31_data_user_11,{'yellowconsumer_device_31'}
consumer_device_31_data_user_2,{'blueconsumer_device_31'}
consumer_device_31_data_user_3,{'yellowconsumer_device_31'}
consumer_device_31_data_user_4,{'redconsumer_device_31'}
consumer_device_31_data_user_5,{'yellowconsumer_device_31'}
consumer_device_31_data_user_6,{'blueconsumer_device_31'}
consumer_device_31_data_user_7,{'redconsumer_device_31'}
consumer_device_31_data_user_8,{'yellowconsumer_device_31'}
consumer_device_31_data_user_9,{'redconsumer_device_31'}
consumer_device_32_data_user_1,{'redconsumer_device_32'}
consumer_device_32_data_user_10,{'redconsumer_device_32'}
consumer_device_32_data_user_11,{'blueconsumer_device_32'}
consumer_device_32_data_user_12,{'yellowconsumer_device_32'}
consumer_device_32_data_user_13,{'redconsumer_device_32'}
consumer_device_32_data_user_14,{'blueconsumer_device_32'}
consumer_device_32_data_user_15,{'yellowconsumer_device_32'}
consumer_device_32_data_user_16,{'redconsumer_device_32'}
consumer_device_32_data_user_17,{'blueconsumer_device_32'}
consumer_device_32_data_user_18,{'yellowconsumer_device_32'}
consumer_device_32_data_user_19,{'redconsumer_device_32'}
consumer_device_32_data_user_2,{'blueconsumer_device_32'}
consumer_device_32_data_user_20,{'blueconsumer_device_32'}
consumer_device_32_data_user_21,{'yellowconsumer_device_32'}
consumer_device_32_data_user_3,{'yellowconsumer_device_32'}
consumer_device_32_data_user_4,{'redconsumer_device_32'}
consumer_device_32_data_user_5,{'blueconsumer_device_32'}
consumer_device_32_data_user_6,{'yellowconsumer_device_32'}
consumer_device_32_data_user_7,{'redconsumer_device_32'}
consumer_device_32_data_user_8,{'blueconsumer_device_32'}
consumer_device_32_data_user_9,{'yellowconsumer_device_32'}
consumer_device_34_data_user_1,{'redconsumer_device_34'}
consumer_device_34_data_user_10,{'redconsumer_device_34'}
consumer_device_34_data_user_11,{'blueconsumer_device_34'}
consumer_device_34_data_user_12,{'yellowconsumer_device_34'}
consumer_device_34_data_user_13,{'redconsumer_device_34'}
consumer_device_34_data_user_14,{'blueconsumer_device_34'}
consumer_device_34_data_user_15,{'yellowconsumer_device_34'}
consumer_device_34_data_user_16,{'redconsumer_device_34'}
consumer_device_34_data_user_17,{'yellowconsumer_device_34'}
consumer_device_34_data_user_2,{'blueconsumer_device_34'}
consumer_device_34_data_user_3,{'yellowconsumer_device_34'}
consumer_device_34_data_user_4,{'redconsumer_device_34'}
consumer_device_34_data_user_5,{'blueconsumer_device_34'}
consumer_device_34_data_user_6,{'yellowconsumer_device_34'}
consumer_device_34_data_user_7,{'redconsumer_device_34'}
consumer_device_34_data_user_8,{'blueconsumer_device_34'}
consumer_device_34_data_user_9,{'yellowconsumer_device_34'}
consumer_device_35_data_user_1,{'redconsumer_device_35'}
consumer_device_35_data_user_10,{'redconsumer_device_35'}
consumer_device_35_data_user_11,{'blueconsumer_device_35'}
consumer_device_35_data_user_12,{'yellowconsumer_device_35'}
consumer_device_35_data_user_13,{'redconsumer_device_35'}
consumer_device_35_data_user_14,{'blueconsumer_device_35'}
consumer_device_35_data_user_15,{'yellowconsumer_device_35'}
consumer_device_35_data_user_2,{'blueconsumer_device_35'}
consumer_device_35_data_user_3,{'yellowconsumer_device_35'}
consumer_device_35_data_user_4,{'redconsumer_device_35'}
consumer_device_35_data_user_5,{'yellowconsumer_device_35'}
consumer_device_35_data_user_6,{'redconsumer_device_35'}
consumer_device_35_data_user_7,{'blueconsumer_device_35'}
consumer_device_35_data_user_8,{'yellowconsumer_device_35'}
consumer_device_35_data_user_9,{'redconsumer_device_35'}
consumer_device_36_data_user_1,{'redconsumer_device_36'}
consumer_device_36_data_user_10,{'redconsumer_device_36'}
consumer_device_36_data_user_11,{'blueconsumer_device_36'}
consumer_device_36_data_user_12,{'blueconsumer_device_36'}
consumer_device_36_data_user_13,{'yellowconsumer_device_36'}
consumer_device_36_data_user_14,{'redconsumer_device_36'}
consumer_device_36_data_user_15,{'blueconsumer_device_36'}
consumer_device_36_data_user_16,{'yellowconsumer_device_36'}
consumer_device_36_data_user_2,{'blueconsumer_device_36'}
consumer_device_36_data_user_3,{'yellowconsumer_device_36'}
consumer_device_36_data_user_4,{'redconsumer_device_36'}
consumer_device_36_data_user_5,{'blueconsumer_device_36'}
consumer_device_36_data_user_6,{'yellowconsumer_device_36'}
consumer_device_36_data_user_7,{'redconsumer_device_36'}
consumer_device_36_data_user_8,{'blueconsumer_device_36'}
consumer_device_36_data_user_9,{'yellowconsumer_device_36'}
consumer_device_37_data_user_1,{'redconsumer_device_37'}
consumer_device_37_data_user_10,{'redconsumer_device_37'}
consumer_device_37_data_user_11,{'blueconsumer_device_37'}
consumer_device_37_data_user_12,{'redconsumer_device_37'}
consumer_device_37_data_user_13,{'yellowconsumer_device_37'}
consumer_device_37_data_user_14,{'redconsumer_device_37'}
consumer_device_37_data_user_15,{'yellowconsumer_device_37'}
consumer_device_37_data_user_2,{'blueconsumer_device_37'}
consumer_device_37_data_user_3,{'yellowconsumer_device_37'}
consumer_device_37_data_user_4,{'redconsumer_device_37'}
consumer_device_37_data_user_5,{'blueconsumer_device_37'}
consumer_device_37_data_user_6,{'yellowconsumer_device_37'}
consumer_device_37_data_user_7,{'redconsumer_device_37'}
consumer_device_37_data_user_8,{'blueconsumer_device_37'}
consumer_device_37_data_user_9,{'yellowconsumer_device_37'}
consumer_device_38_data_user_1,{'redconsumer_device_38'}
consumer_device_38_data_user_10,{'redconsumer_device_38'}
consumer_device_38_data_user_11,{'blueconsumer_device_38'}
consumer_device_38_data_user_12,{'redconsumer_device_38'}
consumer_device_38_data_user_13,{'blueconsumer_device_38'}
consumer_device_38_data_user_14,{'yellowconsumer_device_38'}
consumer_device_38_data_user_15,{'redconsumer_device_38'}
consumer_device_38_data_user_16,{'yellowconsumer_device_38'}
consumer_device_38_data_user_2,{'blueconsumer_device_38'}
consumer_device_38_data_user_3,{'yellowconsumer_device_38'}
consumer_device_38_data_user_4,{'redconsumer_device_38'}
consumer_device_38_data_user_5,{'blueconsumer_device_38'}
consumer_device_38_data_user_6,{'yellowconsumer_device_38'}
consumer_device_38_data_user_7,{'redconsumer_device_38'}
consumer_device_38_data_user_8,{'blueconsumer_device_38'}
consumer_device_38_data_user_9,{'yellowconsumer_device_38'}
consumer_device_39_data_user_1,{'redconsumer_device_39'}
consumer_device_39_data_user_10,{'redconsumer_device_39'}
consumer_device_39_data_user_11,{'blueconsumer_device_39'}
consumer_device_39_data_user_12,{'blueconsumer_device_39'}
consumer_device_39_data_user_13,{'yellowconsumer_device_39'}
consumer_device_39_data_user_14,{'redconsumer_device_39'}
consumer_device_39_data_user_15,{'yellowconsumer_device_39'}
consumer_device_39_data_user_2,{'blueconsumer_device_39'}
consumer_device_39_data_user_3,{'yellowconsumer_device_39'}
consumer_device_39_data_user_4,{'redconsumer_device_39'}
consumer_device_39_data_user_5,{'blueconsumer_device_39'}
consumer_device_39_data_user_6,{'yellowconsumer_device_39'}
consumer_device_39_data_user_7,{'redconsumer_device_39'}
consumer_device_39_data_user_8,{'blueconsumer_device_39'}
consumer_device_39_data_user_9,{'yellowconsumer_device_39'}
consumer_device_6_data_user_1,{'redconsumer_device_6'}
consumer_device_6_data_user_10,{'blueconsumer_device_6'}
consumer_device_6_data_user_11,{'yellowconsumer_device_6'}
consumer_device_6_data_user_12,{'redconsumer_device_6'}
consumer_device_6_data_user_13,{'blueconsumer_device_6'}
consumer_device_6_data_user_14,{'yellowconsumer_device_6'}
consumer_device_6_data_user_15,{'redconsumer_device_6'}
consumer_device_6_data_user_16,{'blueconsumer_device_6'}
consumer_device_6_data_user_17,{'yellowconsumer_device_6'}
consumer_device_6_data_user_2,{'blueconsumer_device_6'}
consumer_device_6_data_user_3,{'yellowconsumer_device_6'}
consumer_device_6_data_user_4,{'redconsumer_device_6'}
consumer_device_6_data_user_5,{'blueconsumer_device_6'}
consumer_device_6_data_user_6,{'yellowconsumer_device_6'}
consumer_device_6_data_user_7,{'blueconsumer_device_6'}
consumer_device_6_data_user_8,{'yellowconsumer_device_6'}
consumer_device_6_data_user_9,{'redconsumer_device_6'}
consumer_device_7_data_user_1,{'redconsumer_device_7'}
consumer_device_7_data_user_10,{'redconsumer_device_7'}
consumer_device_7_data_user_11,{'blueconsumer_device_7'}
consumer_device_7_data_user_12,{'yellowconsumer_device_7'}
consumer_device_7_data_user_13,{'redconsumer_device_7'}
consumer_device_7_data_user_14,{'blueconsumer_device_7'}
consumer_device_7_data_user_15,{'yellowconsumer_device_7'}
consumer_device_7_data_user_16,{'redconsumer_device_7'}
consumer_device_7_data_user_17,{'blueconsumer_device_7'}
consumer_device_7_data_user_18,{'yellowconsumer_device_7'}
consumer_device_7_data_user_2,{'blueconsumer_device_7'}
consumer_device_7_data_user_3,{'yellowconsumer_device_7'}
consumer_device_7_data_user_4,{'redconsumer_device_7'}
consumer_device_7_data_user_5,{'blueconsumer_device_7'}
consumer_device_7_data_user_6,{'yellowconsumer_device_7'}
consumer_device_7_data_user_7,{'redconsumer_device_7'}
consumer_device_7_data_user_8,{'blueconsumer_device_7'}
consumer_device_7_data_user_9,{'yellowconsumer_device_7'}
consumer_device_8_data_user_1,{'redconsumer_device_8'}
consumer_device_8_data_user_10,{'redconsumer_device_8'}
consumer_device_8_data_user_11,{'blueconsumer_device_8'}
consumer_device_8_data_user_12,{'yellowconsumer_device_8'}
consumer_device_8_data_user_13,{'redconsumer_device_8'}
consumer_device_8_data_user_14,{'blueconsumer_device_8'}
consumer_device_8_data_user_15,{'yellowconsumer_device_8'}
consumer_device_8_data_user_16,{'redconsumer_device_8'}
consumer_device_8_data_user_17,{'blueconsumer_device_8'}
consumer_device_8_data_user_18,{'yellowconsumer_device_8'}
consumer_device_8_data_user_2,{'blueconsumer_device_8'}
consumer_device_8_data_user_3,{'yellowconsumer_device_8'}
consumer_device_8_data_user_4,{'redconsumer_device_8'}
consumer_device_8_data_user_5,{'blueconsumer_device_8'}
consumer_device_8_data_user_6,{'yellowconsumer_device_8'}
consumer_device_8_data_user_7,{'redconsumer_device_8'}
consumer_device_8_data_user_8,{'blueconsumer_device_8'}
consumer_device_8_data_user_9,{'yellowconsumer_device_8'}
